observation_id,record_id,frame_id,timestamp_seconds,frame_path,text,confidence,polygon_json,language_profile,ocr_version
airfryer-002-ocr-00067,airfryer-002,frame_000013,65.000,data_video/keyframes/airfryer-002/frame_000013.jpg,SHEETS,0.967361,"[[650.0,306.0],[705.0,311.0],[704.0,326.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00068,airfryer-002,frame_000013,65.000,data_video/keyframes/airfryer-002/frame_000013.jpg,OREO,0.994508,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00069,airfryer-002,frame_000014,70.000,data_video/keyframes/airfryer-002/frame_000014.jpg,Chef,0.998822,"[[369.0,241.0],[393.0,236.0],[397.0,253.0],[372.0,258.0]]",de,PP-OCRv5
airfryer-002-ocr-00070,airfryer-002,frame_000014,70.000,data_video/keyframes/airfryer-002/frame_000014.jpg,Library Kitchen,0.934582,"[[348.0,283.0],[426.0,278.0],[427.0,300.0],[350.0,305.0]]",de,PP-OCRv5
airfryer-002-ocr-00071,airfryer-002,frame_000014,70.000,data_video/keyframes/airfryer-002/frame_000014.jpg,Puff Pastry,0.966842,"[[634.0,284.0],[727.0,300.0],[723.0,324.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00072,airfryer-002,frame_000014,70.000,data_video/keyframes/airfryer-002/frame_000014.jpg,SHEETS,0.970328,"[[651.0,306.0],[703.0,312.0],[702.0,326.0],[649.0,320.0]]",de,PP-OCRv5
airfryer-002-ocr-00073,airfryer-002,frame_000014,70.000,data_video/keyframes/airfryer-002/frame_000014.jpg,OREO,0.993779,"[[690.0,381.0],[769.0,368.0],[773.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00074,airfryer-002,frame_000015,75.000,data_video/keyframes/airfryer-002/frame_000015.jpg,Chef,0.999466,"[[333.0,228.0],[361.0,228.0],[361.0,248.0],[333.0,248.0]]",de,PP-OCRv5
airfryer-002-ocr-00075,airfryer-002,frame_000015,75.000,data_video/keyframes/airfryer-002/frame_000015.jpg,Library Kitchen,0.977914,"[[304.0,265.0],[384.0,272.0],[382.0,296.0],[302.0,289.0]]",de,PP-OCRv5
airfryer-002-ocr-00076,airfryer-002,frame_000015,75.000,data_video/keyframes/airfryer-002/frame_000015.jpg,Puff Pastry,0.910632,"[[634.0,283.0],[726.0,300.0],[721.0,325.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00077,airfryer-002,frame_000015,75.000,data_video/keyframes/airfryer-002/frame_000015.jpg,SHEETS,0.918293,"[[650.0,307.0],[705.0,311.0],[704.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00078,airfryer-002,frame_000015,75.000,data_video/keyframes/airfryer-002/frame_000015.jpg,OREO,0.996091,"[[690.0,381.0],[769.0,367.0],[773.0,392.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00079,airfryer-002,frame_000019,95.000,data_video/keyframes/airfryer-002/frame_000019.jpg,Chef,0.999637,"[[421.0,222.0],[448.0,222.0],[448.0,240.0],[421.0,240.0]]",de,PP-OCRv5
airfryer-002-ocr-00080,airfryer-002,frame_000019,95.000,data_video/keyframes/airfryer-002/frame_000019.jpg,Library Kitchen,0.956887,"[[397.0,261.0],[476.0,261.0],[476.0,285.0],[397.0,285.0]]",de,PP-OCRv5
airfryer-002-ocr-00081,airfryer-002,frame_000019,95.000,data_video/keyframes/airfryer-002/frame_000019.jpg,Puff Pastry,0.838939,"[[634.0,283.0],[726.0,299.0],[721.0,324.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00082,airfryer-002,frame_000019,95.000,data_video/keyframes/airfryer-002/frame_000019.jpg,SHEETS,0.964221,"[[650.0,307.0],[703.0,311.0],[702.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00083,airfryer-002,frame_000019,95.000,data_video/keyframes/airfryer-002/frame_000019.jpg,OREO,0.994985,"[[691.0,381.0],[769.0,367.0],[773.0,392.0],[695.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00084,airfryer-002,frame_000020,100.000,data_video/keyframes/airfryer-002/frame_000020.jpg,Chef,0.999665,"[[363.0,226.0],[389.0,226.0],[389.0,244.0],[363.0,244.0]]",de,PP-OCRv5
airfryer-002-ocr-00085,airfryer-002,frame_000020,100.000,data_video/keyframes/airfryer-002/frame_000020.jpg,Library Kitchen,0.994647,"[[337.0,267.0],[419.0,265.0],[419.0,289.0],[338.0,291.0]]",de,PP-OCRv5
airfryer-002-ocr-00086,airfryer-002,frame_000020,100.000,data_video/keyframes/airfryer-002/frame_000020.jpg,Puff Pastry,0.943892,"[[634.0,283.0],[726.0,299.0],[721.0,324.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00087,airfryer-002,frame_000020,100.000,data_video/keyframes/airfryer-002/frame_000020.jpg,SHEETS,0.976792,"[[651.0,306.0],[703.0,312.0],[702.0,326.0],[649.0,320.0]]",de,PP-OCRv5
airfryer-002-ocr-00088,airfryer-002,frame_000020,100.000,data_video/keyframes/airfryer-002/frame_000020.jpg,OREO,0.995964,"[[691.0,381.0],[769.0,367.0],[773.0,392.0],[695.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00089,airfryer-002,frame_000021,105.000,data_video/keyframes/airfryer-002/frame_000021.jpg,Library Kitchen,0.916474,"[[358.0,265.0],[436.0,262.0],[437.0,284.0],[358.0,287.0]]",de,PP-OCRv5
airfryer-002-ocr-00090,airfryer-002,frame_000021,105.000,data_video/keyframes/airfryer-002/frame_000021.jpg,Puff Pastry,0.936739,"[[634.0,283.0],[726.0,299.0],[721.0,324.0],[629.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00091,airfryer-002,frame_000021,105.000,data_video/keyframes/airfryer-002/frame_000021.jpg,SHEETS,0.985100,"[[651.0,306.0],[703.0,312.0],[702.0,326.0],[649.0,320.0]]",de,PP-OCRv5
airfryer-002-ocr-00092,airfryer-002,frame_000021,105.000,data_video/keyframes/airfryer-002/frame_000021.jpg,OREO,0.995607,"[[691.0,381.0],[769.0,368.0],[773.0,393.0],[695.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00093,airfryer-002,frame_000022,110.000,data_video/keyframes/airfryer-002/frame_000022.jpg,Chef,0.999660,"[[394.0,224.0],[423.0,221.0],[425.0,239.0],[396.0,242.0]]",de,PP-OCRv5
airfryer-002-ocr-00094,airfryer-002,frame_000022,110.000,data_video/keyframes/airfryer-002/frame_000022.jpg,Library Kitchen,0.996059,"[[373.0,264.0],[451.0,264.0],[451.0,285.0],[373.0,285.0]]",de,PP-OCRv5
airfryer-002-ocr-00095,airfryer-002,frame_000022,110.000,data_video/keyframes/airfryer-002/frame_000022.jpg,Puff Pastry,0.941038,"[[633.0,284.0],[726.0,299.0],[722.0,323.0],[630.0,308.0]]",de,PP-OCRv5
airfryer-002-ocr-00096,airfryer-002,frame_000022,110.000,data_video/keyframes/airfryer-002/frame_000022.jpg,SHEETS,0.917091,"[[650.0,307.0],[704.0,311.0],[703.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00097,airfryer-002,frame_000022,110.000,data_video/keyframes/airfryer-002/frame_000022.jpg,OREO,0.994942,"[[690.0,381.0],[770.0,368.0],[774.0,393.0],[694.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00098,airfryer-002,frame_000023,115.000,data_video/keyframes/airfryer-002/frame_000023.jpg,Chef,0.999301,"[[422.0,232.0],[451.0,232.0],[451.0,251.0],[422.0,251.0]]",de,PP-OCRv5
airfryer-002-ocr-00099,airfryer-002,frame_000023,115.000,data_video/keyframes/airfryer-002/frame_000023.jpg,Library Kitchen,0.956811,"[[398.0,271.0],[477.0,274.0],[476.0,298.0],[397.0,295.0]]",de,PP-OCRv5
airfryer-002-ocr-00100,airfryer-002,frame_000023,115.000,data_video/keyframes/airfryer-002/frame_000023.jpg,Puff Pastry,0.956263,"[[633.0,285.0],[725.0,299.0],[721.0,323.0],[630.0,309.0]]",de,PP-OCRv5
airfryer-002-ocr-00101,airfryer-002,frame_000023,115.000,data_video/keyframes/airfryer-002/frame_000023.jpg,SHEETS,0.978964,"[[650.0,307.0],[704.0,311.0],[703.0,325.0],[649.0,321.0]]",de,PP-OCRv5
airfryer-002-ocr-00102,airfryer-002,frame_000023,115.000,data_video/keyframes/airfryer-002/frame_000023.jpg,OREO,0.996226,"[[691.0,381.0],[769.0,368.0],[773.0,393.0],[695.0,406.0]]",de,PP-OCRv5
airfryer-002-ocr-00103,airfryer-002,frame_000025,125.000,data_video/keyframes/airfryer-002/frame_000025.jpg,Chef,0.998951,"[[368.0,237.0],[396.0,233.0],[398.0,253.0],[370.0,257.0]]",de,PP-OCRv5
airfryer-002-ocr-00104,airfryer-002,frame_000025,125.000,data_video/keyframes/airfryer-002/frame_000025.jpg,Library Kitchen,0.997088,"[[348.0,279.0],[427.0,279.0],[427.0,300.0],[348.0,300.0]]",de,PP-OCRv5
airfryer-002-ocr-00105,airfryer-002,frame_000025,125.000,data_video/keyframes/airfryer-002/frame_000025.jpg,Puff Pastry,0.897217,"[[634.0,283.0],[726.0,299.0],[721.0,324.0],[629.0,308.0]]",de,PP-OCRv5
