query_id,product_class,query_type,split,mode,top1_iou,r1_iou_0.3,temporal_ap_0.3,r1_iou_0.5,temporal_ap_0.5,r1_iou_0.7,temporal_ap_0.7
VQ-044,Pressure Cooker,maintenance,development,dense,0.000000,0,0.250000,0,0.250000,0,0.250000
VQ-046,Pressure Cooker,maintenance,source_disjoint_test,dense,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-047,Pressure Cooker,troubleshooting,source_disjoint_test,dense,0.998909,1,1.000000,1,1.000000,1,1.000000
VQ-049,Pressure Cooker,troubleshooting,source_disjoint_test,dense,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-050,Pressure Cooker,safety,source_disjoint_test,dense,0.000000,0,0.050000,0,0.050000,0,0.050000
VQ-052,Printer,operation,development,dense,0.000000,0,0.111111,0,,0,
VQ-053,Printer,operation,development,dense,0.800661,1,0.500000,1,0.500000,1,0.500000
VQ-054,Printer,operation,development,dense,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-055,Printer,state,development,dense,0.000000,0,0.250000,0,0.250000,0,0.250000
VQ-056,Printer,state,development,dense,0.000000,0,0.431694,0,0.431694,0,0.381526
VQ-057,Printer,state,development,dense,0.000000,0,0.392857,0,0.392857,0,0.392857
VQ-058,Printer,component,development,dense,0.000000,0,0.333333,0,,0,
VQ-059,Printer,component,development,dense,0.000000,0,0.250000,0,0.250000,0,0.250000
VQ-061,Printer,maintenance,development,dense,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-063,Printer,maintenance,source_disjoint_test,dense,0.000000,0,0.196429,0,0.196429,0,0.196429
VQ-065,Printer,troubleshooting,source_disjoint_test,dense,0.000000,0,0.125000,0,0.125000,0,0.125000
VQ-066,Printer,troubleshooting,source_disjoint_test,dense,0.000000,0,0.083333,0,0.083333,0,0.083333
VQ-067,Printer,safety,source_disjoint_test,dense,0.200000,0,0.142857,0,0.142857,0,0.142857
VQ-068,Printer,safety,source_disjoint_test,dense,0.200000,0,,0,,0,
VQ-070,Vacuum,operation,development,dense,0.982318,1,0.687831,1,0.687831,1,0.777778
VQ-072,Vacuum,state,development,dense,1.000000,1,0.504121,1,0.583333,1,0.583333
VQ-073,Vacuum,state,development,dense,0.990909,1,0.407407,1,0.500000,1,0.500000
VQ-074,Vacuum,state,development,dense,0.000000,0,0.035714,0,0.000000,0,0.000000
VQ-075,Vacuum,component,development,dense,0.000000,0,0.250000,0,0.250000,0,0.250000
VQ-078,Vacuum,maintenance,development,dense,0.000000,0,0.200000,0,0.200000,0,
VQ-083,Vacuum,safety,source_disjoint_test,dense,0.000000,0,0.000000,0,0.000000,0,0.000000
VQ-086,Washing Machine,operation,development,dense,0.996638,1,0.854167,1,0.666667,1,0.666667
VQ-087,Washing Machine,operation,development,dense,0.970149,1,0.520000,1,0.520000,1,0.520000
VQ-088,Washing Machine,state,development,dense,0.000000,0,0.420833,0,0.420833,0,0.279167
VQ-090,Washing Machine,state,development,dense,0.000000,0,,0,,0,
VQ-091,Washing Machine,component,development,dense,0.996638,1,0.750000,1,1.000000,1,1.000000
VQ-092,Washing Machine,component,development,dense,0.191516,0,0.500000,0,0.500000,0,0.500000
VQ-093,Washing Machine,component,development,dense,1.000000,1,1.000000,1,1.000000,1,1.000000
VQ-094,Washing Machine,maintenance,development,dense,0.996425,1,1.000000,1,1.000000,1,1.000000
VQ-095,Washing Machine,maintenance,source_disjoint_test,dense,0.000000,0,,0,,0,
VQ-096,Washing Machine,maintenance,source_disjoint_test,dense,1.000000,1,0.590909,1,0.590909,1,0.590909
VQ-097,Washing Machine,troubleshooting,source_disjoint_test,dense,0.191516,0,0.250000,0,0.250000,0,0.250000
VQ-098,Washing Machine,troubleshooting,source_disjoint_test,dense,0.600288,1,1.000000,1,1.000000,0,
VQ-099,Washing Machine,safety,source_disjoint_test,dense,0.000000,0,0.333333,0,0.333333,0,0.333333
VQ-001,Air Fryer,operation,development,visual,0.980799,1,0.418182,1,0.354482,1,0.306474
VQ-002,Air Fryer,operation,development,visual,0.000000,0,0.363075,0,0.263415,0,0.218615
VQ-003,Air Fryer,operation,development,visual,0.000000,0,0.159921,0,0.159921,0,0.159921
VQ-004,Air Fryer,state,development,visual,0.000000,0,0.137745,0,0.137745,0,0.137745
VQ-005,Air Fryer,state,development,visual,0.393391,1,0.341128,0,0.178506,0,0.149136
VQ-006,Air Fryer,state,development,visual,0.000000,0,0.111928,0,0.040998,0,0.040998
